video_id,datetime,title
982V2ituTdc,2025-06-15T15:00:13Z,How to Improve LLM Apps with Error Analysis
Q2HxSfS6ADo,2025-06-08T15:00:42Z,Your LLM Prompts Suck... here&#39;s how to fix them.
nSH2vZjb2TA,2025-06-01T15:01:13Z,My PhD Defense [Applied Physics and AI Research]
nPQkBGf55YA,2025-05-25T15:01:12Z,30 AI Buzzwords Explained (in 22 Minutes)
OLmKFj-_5Uw,2025-05-18T15:00:40Z,AI Essentials for Entrepreneurs (in 17 Minutes)
BUTjcAjfMgY,2025-05-11T15:00:27Z,ML Foundations for AI Engineers (in 34 Minutes)
uItWjWjH_Rs,2025-05-04T15:01:18Z,How I (Vibe) Code with Cursor + Python
N3vHJcHBS-w,2025-04-27T15:00:28Z,Model Context Protocol (MCP) Explained in 20 Minutes
6VcXukJuGA0,2025-04-21T12:00:15Z,LLM in a Loop: Automate feedback with evals
Nm_mmRTpWLg,2025-04-14T12:00:42Z,LLM Workflows: From Automation to AI Agents (with Python)
-BUs1CPHKfU,2025-04-07T12:26:44Z,How to Improve LLMs with Tools (ft. OpenAI Agents SDK)
ZaY5_ScmiFE,2025-03-31T12:38:50Z,An Introduction to AI Agents (for 2025)
Dke017sUIkE,2025-03-24T12:00:19Z,"My First $10,000 Month (as an entrepreneur)"
-sL7QzDFW-4,2025-03-17T12:00:01Z,How to Evaluate (and Improve) Your LLM Apps
-AA0xw5xeQU,2025-03-06T13:00:00Z,5 AI Projects For People in a Hurry (w/ Python)
bbVoDXoPrPM,2025-03-03T13:00:58Z,Fine-tuning LLMs on Human Feedback (RLHF + DPO)
RveLjcNl0ds,2025-02-17T15:15:03Z,How to Train LLMs to &quot;Think&quot; (o1 &amp; DeepSeek-R1)
bZr2vhoXSy8,2025-02-08T18:10:05Z,I Fine-tuned FLUX.1 on My Face (and how you can too)
QvxuR8uLPFs,2025-02-03T18:00:00Z,How to Build Customer Segments with AI (Real-World Use Case)
W4s6b2ZM6kI,2025-01-31T22:38:22Z,Fine-tuning Multimodal Embeddings on Custom Text-Image Pairs
hOLBrIjRAj4,2025-01-22T21:25:16Z,Fine-Tuning Text Embeddings For Domain-specific Search (w/ Python)
V1BR2tb_e8g,2025-01-13T21:10:47Z,My AI Development Setup (From Scratch)
CVcpOjwWDlw,2025-01-09T15:30:11Z,The Problem With AI (in 2025) #ai #software
lIuC0IVTeXI,2024-12-30T17:26:44Z,Getting a Data Science Job Was Hard Until I Learned These 5 Things #datascience #resumetips
R5WXaxmb6m4,2024-12-26T20:39:24Z,How to Build a Resume Optimizer with AI (Code Walkthrough)
RRnuZGEhneQ,2024-12-23T17:57:13Z,How I’d Learn AI in 2025 (if I could start over) #ai #python
e3p9-hYxwSQ,2024-12-17T14:29:21Z,How I’d Learn AI in 2025 (if I could start over)
rSHwqTD-FcY,2024-12-16T15:10:56Z,3 Ways to Make LLMs Multimodal #ai #multimodalai #llm
Y7pNmocrmi8,2024-12-07T21:41:10Z,Multimodal RAG: A Beginner-friendly Guide (with Python Code)
YOvxh_ma5qE,2024-11-28T18:59:44Z,Multimodal Embeddings: Introduction &amp; Use Cases (with Python)
Ot2c5MKN_-w,2024-11-20T13:31:14Z,Multimodal AI: LLMs that can see (and hear)
gUJJB235DVs,2024-11-18T15:11:07Z,5 AI Projects You Can Build This Weekend #python #ai
bAe4qwQGxlI,2024-10-25T13:18:08Z,I Built an AI App in 4 days... here&#39;s how.
4QHg8Ix8WWQ,2024-10-17T12:50:12Z,Fine-Tuning BERT for Text Classification (w/ Example Code)
tMiQIxSX64c,2024-10-10T13:50:57Z,5 AI Projects You Can Build This Weekend (with Python)
7Oy2NmPwJXo,2024-09-26T23:24:35Z,I Quit My Job… Here’s How Much I Made 1 Year Later
ZVVkdXHqEuM,2024-09-23T15:45:12Z,Knowledge Distillation Explained in 60 Seconds #deeplearning
reXoKNC_Wx4,2024-09-20T18:15:44Z,Quantization Explained in 60 Seconds #AI
9joIFeKuf04,2024-09-16T14:01:44Z,Python Explained in 60 Seconds #programming
pNg2DJ4spXg,2024-09-12T16:36:12Z,Python QuickStart for People Learning AI [Mini-Course]
FLkUOkeMd5M,2024-09-01T01:53:13Z,Compressing Large Language Models (LLMs) | w/ Python Code
kmrekqjWE8o,2024-08-26T14:15:08Z,Why You Should “Keep Going” #entrepreneurship
3JsgtpX_rpU,2024-08-16T14:02:17Z,3 AI Use Cases (that are not a chatbot)
bwW1I6JlI30,2024-08-12T17:47:20Z,How to Learn Anything #learning #shorts
3PIqhdRzhxE,2024-07-29T19:20:52Z,Local LLM Fine-tuning on Mac (M1 16GB)
y7xbHtFostg,2024-07-22T13:46:22Z,Data Science Explained in 60 Seconds
f4Gsbq10j1s,2024-07-10T13:00:45Z,"How Much YouTube Paid Me for 1,000,000+ Views (no fluff)"
TwVl4aA5qtk,2024-07-05T18:06:10Z,I Was Wrong About YouTube (what I learned)
suxHNXk5jp0,2024-07-01T19:36:39Z,Why Businesses Should NOT use #AI
baxaZI_j71I,2024-06-19T21:57:56Z,3 Reasons Businesses Should NOT Use AI
X8ZR6yFdg1Q,2024-06-17T14:12:45Z,AI Explained in 60 Seconds #ai
sxvyBxLVvKs,2024-06-13T23:44:59Z,How to Communicate Effectively (as a Data Scientist)
XQWhJsXu0sY,2024-06-07T18:32:43Z,What Nature Can Teach Us About Business...
wJ794jLP2Tw,2024-05-30T15:41:30Z,Automating Data Pipelines with Python &amp; GitHub Actions [Code Walkthrough]
pJ_nCklQ65w,2024-05-18T15:24:22Z,"How to Deploy ML Solutions with FastAPI, Docker, &amp; AWS"
6qCrvlHRhcM,2024-05-11T15:00:08Z,How to Build ML Solutions (w/ Python Code Walkthrough)
OnIQrDiTtRM,2024-05-03T12:40:43Z,How to Build Data Pipelines for ML Projects (w/ Python Code)
eayzAZltV9U,2024-04-29T13:54:55Z,4 Lessons from AI Consulting #freelancing
03x2oYg9oME,2024-04-25T15:16:00Z,How to Manage Data Science Projects
O5i_mMUM94c,2024-04-19T14:05:54Z,How I’d learned #datascience (if I had to start over) ￼
xm9devSQEqU,2024-04-18T15:59:02Z,4 Skills You Need to Be a Full-Stack Data Scientist
Z6CmuVEi7QY,2024-04-11T10:00:27Z,How I&#39;d Learn Data Science (if I could start over)
INlCLmWlojY,2024-04-04T18:45:00Z,I Was Wrong About AI Consulting (what I learned)
sNa_uiqSlJo,2024-03-29T15:57:34Z,"Text Embeddings, Classification, and Semantic Search (w/ Python Code)"
Ylz779Op9Pw,2024-03-18T17:32:21Z,How to Improve LLMs with RAG (Overview + Python Code)
XpoKB3usmKc,2024-02-27T22:52:38Z,QLoRA—How to Fine-tune an LLM on a Single GPU (w/ Python Code)
qPrVqTIkobg,2024-02-27T00:59:53Z,Difference Between #AI Chatbots and Assistants
LqOJCPonUQU,2024-02-19T14:51:09Z,The Best Way to Think About Goals #goalsetting
r5qk3uIdkks,2024-02-05T14:59:54Z,What is #ai? — Simply Explained
4RAvJt3fWoI,2024-02-05T00:44:32Z,"3 Ways to Make a Custom AI Assistant | RAG, Tools, &amp; Fine-tuning"
ytmK_ErTWss,2024-01-29T14:53:40Z,LLMs EXPLAINED in 60 seconds #ai
mtu_v335bQo,2024-01-22T15:06:15Z,3 Lessons from AI &amp; Data Consultants #freelancing
8z-WPpP1_-8,2024-01-20T00:48:38Z,AI for Business: A (non-technical) introduction
jGn95KDWZMU,2024-01-11T22:12:29Z,5 Questions Every Data Scientist Should Hardcode into Their Brain
scAxgeGadv4,2024-01-10T14:38:49Z,2 Types of Data You Should Know #datascience
GvRPKPCg5no,2023-12-26T23:07:01Z,How to learn anything #learning
BGZu6WxevoM,2023-12-19T22:05:55Z,How Much YouTube Paid Me in My First 6 Months of Monetization (as a Data Science Creator)
sS10PXKqm7o,2023-12-19T15:03:57Z,Why You Need to “Play” #getpaidtolive #podcast
0iFEtnHyzE0,2023-12-18T14:55:36Z,Fine-tuning EXPLAINED in 40 sec #generativeai
15Kd9OPn7tw,2023-12-11T18:29:09Z,4 Ways to Measure Fat Tails with Python (+ Example Code)
TyhlSNB5Ko0,2023-12-11T15:23:39Z,How I’d learn data analytics (if I had to start over in 2024) #dataanalytics
rtUpRMWFu7k,2023-12-06T14:51:18Z,How to Move Toward Your DREAM LIFE #getpaidtolive
8uwHRVaRsmY,2023-12-04T14:56:41Z,PCA explained in 60 seconds #datascience
x5-IW1m3zPo,2023-11-30T23:54:09Z,Detecting Power Laws in Real-world Data | w/ Python Code
0oBoHwwJYJQ,2023-11-27T17:29:19Z,Do NOT become an entrepreneur #entrepreneurship
2Axas1OvafQ,2023-11-20T19:35:35Z,DON’T study Gen AI #generativeai
Wcqt49dXtm8,2023-11-15T16:06:40Z,"Pareto, Power Laws, and Fat Tails"
JgWV1skSpEc,2023-10-25T16:44:10Z,I Spent $716.46 Talking to Data Scientists on Upwork—Here’s what I learned.
Xn_Zw6KSxYU,2023-10-18T16:04:24Z,I Have 90 Days to Make $10k/mo—Here&#39;s my plan
ZLbVdvOoTKM,2023-10-05T19:01:23Z,How to Build an LLM from Scratch | An Overview
eC6Hd1hFvos,2023-10-01T20:19:38Z,Fine-tuning Large Language Models (LLMs) | w/ Example Code
FEEvnpfD16c,2023-09-30T13:03:33Z,The REALITY of entrepreneurship. #entrepreneurship #startup #smallbusiness
0cf7vzM_dZ0,2023-09-26T22:38:42Z,Prompt Engineering: How to Trick AI into Solving Your Problems
LRLH_yIxHrI,2023-08-29T19:25:48Z,"Why I Quit My $150,000 Data Science Job"
jan07gloaRg,2023-08-10T19:48:23Z,The Hugging Face Transformers Library | Example Code + Chatbot UI with Gradio
czvVibB2lRA,2023-07-28T15:24:51Z,The OpenAI (Python) API | Introduction &amp; Example Code
4oUOJ37GKYE,2023-07-24T13:50:51Z,"The more they hurt you, the stronger you get #antifragile"
tFHeUSJAYbE,2023-07-22T14:45:18Z,A Practical Introduction to Large Language Models (LLMs)
4-Byoa6BDaQ,2023-07-20T14:24:32Z,"When you’re robust, your environment can’t hurt you #antifragile #resilience"
hB27yAkJLC8,2023-07-19T13:57:49Z,Being fragile means you have more downside than upside. #antifragile #mythology
Ty2mi994yfE,2023-07-17T16:02:05Z,How to learn Causal Inference with #python #dataanalysis #datascience
WzL3USLPwmY,2023-07-16T18:31:57Z,A physicist edited this video #physics  #datascience #curiosity
ejwVSYKo7jk,2023-06-30T20:19:24Z,Lessons from Spending $675.92 to Talk to Top Data Scientists on Upwork #freelance #datascience
_Wjn0gm4g20,2023-06-23T18:10:33Z,I Spent $675.92 Talking to Top Data Scientists on Upwork—Here’s what I learned
NjMD1bGBNqw,2023-05-26T23:04:47Z,How to Create a Custom Email Signature in Gmail (2024)
gp29_P3_lgo,2023-05-06T16:03:12Z,"My $100,000+ Data Science Resume (what got me hired)"
D9CLhQdLp8w,2023-04-24T21:30:03Z,How to Make a Data Science Portfolio With GitHub Pages (2024)
4vvoIA0MalQ,2023-03-18T23:34:38Z,Dimensionality Reduction &amp; Segmentation with Decision Trees | Python Code
ZaXpMou55lw,2023-03-03T14:22:24Z,10 Decision Trees are Better Than 1 | Random Forest &amp; AdaBoost
B6a64wdD7Zs,2023-02-18T17:30:14Z,An Introduction to Decision Trees | Gini Impurity &amp; Python Code
CTu8JNLq5ZU,2023-01-28T15:06:57Z,5 Reasons Why Every Data Scientist Should Consider Freelancing
O72uByJlnMw,2023-01-14T15:08:23Z,Causal Effects via Regression w/ Python Code
-5c1KO-JF_s,2022-12-15T13:33:49Z,Smoothing Crypto Time Series with Wavelets | Real-world Data Project
ASU5HG5EqTM,2022-12-02T13:54:12Z,Causal Effects via DAGs | How to Handle Unobserved Confounders
dejZzJIZdow,2022-10-22T13:30:09Z,Causal Effects via the Do-operator | Overview &amp; Example
dm-BWjyYQpw,2022-10-14T13:37:55Z,Causal Effects via Propensity Scores | Introduction &amp; Python Code
BOPOX_mTS0g,2022-10-07T12:23:26Z,Causal Effects | An introduction
5zeqo-R12vk,2022-10-01T02:01:57Z,How to STAY dumb
WgmMK5fS0X0,2022-09-27T19:09:20Z,How to do MORE with LESS - multikills
gazeatME3dI,2022-09-26T22:07:08Z,How to be more ANTI-FRAGILE
aD9ereUJBII,2022-09-24T20:12:19Z,The Achievement TRAP
6A4qwVOkPF0,2022-09-23T19:42:12Z,"It’s not DANGER behind the fear of conflict, but uncertainty"
W6TkOTsI7vM,2022-08-26T13:30:31Z,What Is Data Science &amp; How To Start? | A Beginner&#39;s Guide
5ezFcy9CIWE,2022-06-16T13:50:15Z,Persistent Homology | Introduction &amp; Python Example Code
NlMrvCYlOOQ,2022-06-03T10:02:25Z,The Mapper Algorithm | Overview &amp; Python Example Code
fpL5fMmJHqk,2022-05-21T19:15:28Z,Topological Data Analysis (TDA) | An introduction
poGxnBR3hEU,2022-02-23T20:52:15Z,"Multi-kills: How to Do More With Less (no, not by multi-tasking)"
6m82mLNDCyg,2021-12-29T21:11:41Z,How to Be Antifragile | 7 Practical Tips
tufdEUSjmNI,2021-10-26T13:23:44Z,Causal Discovery | Inferring causality from observational data
PFBI-ZfV5rs,2021-10-15T22:02:16Z,Causal Inference | Answering causal questions
WqASiuM4a-A,2021-10-04T20:02:15Z,Causality: An Introduction | How (naive) statistics can fail us
m19FqRrmvIE,2021-07-18T23:47:21Z,Why Conflict Is Good &amp; How You Can Use It
OmNVB3ff98s,2021-05-10T20:13:32Z,"Shit Happens, Stay Solution Oriented"
zJsl4lFyr6w,2021-04-05T19:19:10Z,Kmeans-based Blink Detecter DEMO
GgLaP4Des1Q,2021-03-17T14:53:33Z,Independent Component Analysis (ICA) | EEG Analysis Example Code
WDjzgnqyz4s,2021-02-22T19:39:27Z,Principal Component Analysis (PCA) | Introduction &amp; Example (Python) Code
MX7ymkYGiZ0,2020-12-21T00:24:45Z,The Wavelet Transform | Introduction &amp; Example Code
rPUytg38b6Q,2020-12-04T01:10:36Z,The Fast Fourier Transform | How does it (actually) work?
mj86XmfOniY,2020-11-15T20:41:53Z,"Time Series, Signals, &amp; the Fourier Transform | Introduction"
Gwz4zXPeP_Q,2020-11-12T22:58:00Z,biometricDahboard3 DEMO
lciC1s4FO0g,2020-09-23T13:02:57Z,biometricDashboard2 DEMO